2019-08-20 18:14:49 WARN  Main:7 - Программа запущена
2019-08-20 18:24:05 WARN  Main:8 - Программа запущена
2019-08-20 18:24:05 WARN  MainApp:19 - Создан диалог ПротоколКрейтор 1.0
2019-08-20 18:24:05 WARN  Main:10 - Программа завершила свою работу
2019-08-20 18:47:42 WARN  Main:8 - Программа запущена
2019-08-20 18:47:42 WARN  MainApp:22 - Создан диалог ПротоколКрейтор 1.0
2019-08-20 18:47:42 WARN  Main:10 - Программа завершила свою работу
2019-08-20 18:47:47 WARN  WrdReport_60:13 - Создан объект Отчет 60 пользователь: STUB
2019-08-20 18:47:47 WARN  WrdReport_60:13 - Создан объект Отчет 60 пользователь: STUB
2019-08-20 18:53:48 WARN  Main:8 - Программа запущена
2019-08-20 18:53:48 WARN  MainApp:22 - Создан диалог ПротоколКрейтор 1.0
2019-08-20 18:53:49 WARN  Main:10 - Программа завершила свою работу
2019-08-20 18:53:58 WARN  WrdReport_60:13 - Создан объект Отчет 60 пользователь: STUB
2019-08-20 18:53:58 WARN  WrdReport_60:13 - Создан объект Отчет 60 пользователь: STUB
2019-08-20 18:54:35 WARN  Main:8 - Программа запущена
2019-08-20 18:54:35 WARN  MainApp:22 - Создан диалог ПротоколКрейтор 1.0
2019-08-20 18:54:35 WARN  Main:10 - Программа завершила свою работу
2019-08-20 18:54:36 WARN  WrdReport_60:13 - Создан объект Отчет 60 пользователь: User 1
2019-08-20 18:54:36 WARN  WrdReport_60:13 - Создан объект Отчет 60 пользователь: User 2
2019-08-20 19:24:39 WARN  Main:8 - Программа запущена
2019-08-20 19:24:39 WARN  MainApp:22 - Создан диалог ПротоколКрейтор 1.0
2019-08-20 19:24:39 WARN  Main:10 - Программа завершила свою работу
2019-08-20 19:24:40 WARN  WrdReport_60:13 - Создан объект Отчет 60 пользователь: User 1
2019-08-20 19:24:40 WARN  WrdReport_60:13 - Создан объект Отчет 60 пользователь: User 2
